k,L,Step,Agent,Horizon,center_Position,center_Q,center_BestAction,up_Position,up_Q,up_BestAction,down_Position,down_Q,down_BestAction,left_Position,left_Q,left_BestAction,right_Position,right_Q,right_BestAction
2,15,3,1,2,"(4, 4)",[47.00659511 15.680457    2.92522572 49.99999968  1.55184873],3,"(4, 3)",[ 5.    4.55 -0.2   5.    5.  ],0,"(4, 5)",[-0.5         4.18849038  0.          4.74999995  0.        ],3,"(3, 4)",[45.10699209 44.95746568 47.429104   47.46829995 14.36025361],3,"(5, 4)",[-0.09150001  8.77987491  0.15475619 -0.2         0.08145062],1
2,15,3,1,original qtable,"(4, 4)",[47.35999405  8.64499992  1.62901248 49.9999996   0.85737499],3,"(4, 3)",[0. 0. 0. 0. 0.],0,"(4, 5)",[-0.5         4.18849038  0.          4.74999995  0.        ],3,"(3, 4)",[46.14689509 45.28533837 48.30999621 47.92999994  7.94944144],2,"(5, 4)",[-0.49875     9.02499991  0.          0.          0.        ],1
2,15,4,0,1,"(3, 2)",[42.30821801 43.83158969 43.91687297 44.01154459 46.67345207],4,"(3, 1)",[ 41.91320861  43.36955825  43.19863502 -14.13417813  44.60715797],4,"(3, 3)",[45.81654862 45.88244377 44.448464   45.59868306 49.52289884],4,"(2, 2)",[42.19249297 43.34749672 44.46073001 43.17477891 45.71227628],4,"(4, 2)",[42.09073079 44.3916175  43.39132665 43.1081683  44.9735205 ],4
2,15,4,0,2,"(3, 2)",[42.6418321  43.87046115 44.04061178 44.14830471 46.63756972],4,"(3, 1)",[ 42.37237583  43.49228468  43.35517731 -12.95418643  45.03231957],4,"(3, 3)",[46.24101033 45.95933457 44.4726288  45.66560415 49.4698876 ],4,"(2, 2)",[42.60479812 43.37403425 44.79172816 43.27586319 45.77025958],4,"(4, 2)",[42.56712047 44.79032793 43.48301757 43.25465874 45.05602491],4
2,15,4,0,original qtable,"(3, 2)",[42.99326605 43.91365165 44.40032157 44.30026039 46.81992267],4,"(3, 1)",[ 42.83745795  43.60860599  43.5149393  -11.64308453  45.45961765],4,"(3, 3)",[46.55299129 46.13969572 44.97946518 45.8426133  49.34554025],4,"(2, 2)",[43.05611444 43.40352039 45.15270338 43.33117791 45.83468548],4,"(4, 2)",[42.73197946 45.20220996 43.58489636 43.38005546 45.35093641],4
2,15,4,1,1,"(4, 4)",[45.78530776 23.47233916  4.28210148 49.99999976  2.92974506],3,"(4, 3)",[17.195   16.00945  1.9537   9.22975 17.195  ],0,"(4, 5)",[-0.19469877 11.29551054  0.40088018  4.62780119  0.        ],1,"(3, 4)",[44.15499288 44.67821731 46.60590353 47.47432296 19.53463876],3,"(5, 4)",[0.95936095 7.81157004 0.95371285 1.929805   0.74271838],1
2,15,4,1,2,"(4, 4)",[46.15034199 21.06949946  3.90797523 49.99999974  2.4172987 ],3,"(4, 3)",[13.55   12.5105  1.168   9.2525 13.55  ],0,"(4, 5)",[-0.49875     7.93869716  0.15254393  4.52624995  0.        ],1,"(3, 4)",[44.60578138 44.81768837 46.99568209 47.47146996 17.09328406],3,"(5, 4)",[0.77159686 8.05182918 0.75799868 1.14145    0.53236416],1
2,15,4,1,original qtable,"(4, 4)",[46.55593557 18.6218998   3.46679127 49.99999971  1.84791386],3,"(4, 3)",[9.5   8.845 0.295 9.5   9.5  ],0,"(4, 5)",[-0.49875     7.93869716  0.15254393  4.52624995  0.        ],1,"(3, 4)",[44.60578138 44.81768837 46.99568209 47.47146996 17.09328406],3,"(5, 4)",[0.25173811 8.53597554 0.35779951 0.295      0.22584949],1
2,15,5,0,1,"(3, 3)",[45.67482008 45.49192958 43.94902276 45.10126859 49.61354806],4,"(3, 2)",[41.9730448  43.63129598 43.51038755 43.66001695 45.80888439],4,"(3, 4)",[23.42795    1.71475    1.145725  22.8669845  1.28725  ],0,"(2, 3)",[44.77025416 45.1439503  46.69537054 17.68613101  1.33      ],2,"(4, 3)",[44.05104998 45.69550184 -0.429318   29.28581809 12.52909209],1
2,15,5,0,2,"(3, 3)",[45.73956915 45.57164683 44.18560019 45.23162281 49.57060896],4,"(3, 2)",[42.31137416 43.72617195 43.59767012 43.82653005 46.24008481],4,"(3, 4)",[20.4755    0.9025    0.74525  19.852205  0.9025  ],0,"(2, 3)",[45.3253408  45.24201145 47.13102567 14.89821088  0.475     ],2,"(4, 3)",[44.29896377 46.12613251 -0.47702    27.79259294 13.39343566],1
2,15,5,0,original qtable,"(3, 3)",[45.81654862 45.88244377 44.448464   45.59868306 49.52289884],4,"(3, 2)",[42.30821801 43.83158969 43.91687297 44.01154459 46.67345207],4,"(3, 4)",[9.5   0.    0.    8.645 0.   ],0,"(2, 3)",[45.5625535  45.30620717 47.56887002 11.80052184  0.        ],2,"(4, 3)",[44.52873966 46.55892714 -0.3078     26.3556761  14.57603962],1
2,15,5,1,1,"(4, 3)",[26.085155   25.22088905  3.5280223   8.83226275 25.06565495],0,"(4, 2)",[ 0.488       8.33436105  0.0667375   0.39790657 13.55      ],4,"(4, 4)",[45.43109925 27.31881716  5.23653067 49.99999981  5.1897236 ],3,"(3, 3)",[46.79140155 45.87945036 50.         45.96752006 45.63055822],2,"(5, 3)",[ 0.218      13.55        0.0667375   0.0667375   2.46418201],1
2,15,5,1,2,"(4, 3)",[23.42795    22.4676545   2.917247    8.8108475  22.57294996],0,"(4, 2)",[0.095      4.31670357 0.         0.         9.5       ],4,"(4, 4)",[45.75677697 25.43516593  4.59599048 49.99999979  3.70984406],3,"(3, 3)",[46.93489061 46.05872112 50.         46.1313247  45.78154488],2,"(5, 3)",[-0.205       9.5         0.          0.          1.51560308],1
2,15,5,1,original qtable,"(4, 3)",[17.195   16.00945  1.9537   9.22975 17.195  ],0,"(4, 2)",[0.095      4.31670357 0.         0.         9.5       ],4,"(4, 4)",[45.78530776 23.47233916  4.28210148 49.99999976  2.92974506],3,"(3, 3)",[46.93489061 46.05872112 50.         46.1313247  45.78154488],2,"(5, 3)",[-0.205       9.5         0.          0.          1.51560308],1
