Step,Agent,Horizon,Chosen_Action,Sample_Q
3,3,5,2,[39.23201798 40.71201629 32.0368573  29.98411032 48.60935805]
3,3,6,4,[39.03200885 40.34311808 31.56660946 29.74729783 48.45484228]
4,1,1,2,[19.26393358 21.69450576 21.66107416 24.31361837 21.62246038]
4,1,2,2,[19.2063359  21.79586056 21.75871432 23.98138172 21.71581013]
4,1,3,2,[19.14175585 21.90789435 21.86662076 23.98690148 21.81894944]
4,1,4,2,[19.18105726 22.03232226 21.98646272 23.98741383 21.93349458]
4,1,5,2,[19.21356958 22.15941958 22.10846453 24.09310148 22.04961105]
4,1,6,2,[19.34908512 22.28891847 22.23230174 24.20413645 22.16690898]
4,2,1,3,[21.39069881 23.71903617 23.4645329  25.22086462 23.59228789]
4,2,2,3,[21.46432872 23.94025911 23.6574777  24.97687334 23.79942769]
4,2,3,3,[21.53530512 24.17522779 23.86102622 25.07951689 24.01874843]
4,2,4,3,[21.71392934 24.42495453 24.07584168 25.18703908 24.25108858]
4,2,5,3,[21.88878504 24.67881302 24.29090986 25.41076638 24.48562863]
4,2,6,3,[22.16869858 24.93539634 24.50439282 25.65217175 24.72074702]
4,3,1,2,[42.57141201 44.47646055 36.94535297 34.39435706 49.81214489]
4,3,2,2,[42.26804573 44.38476633 36.52995363 33.88536013 49.7912721 ]
4,3,3,2,[41.93342013 44.28533191 36.2099146  33.57956555 49.76808012]
4,3,4,2,[41.78655618 44.17756927 35.86460308 33.25775582 49.74231124]
4,3,5,2,[41.62639629 44.06085528 35.71453317 33.14205048 49.71367916]
4,3,6,2,[41.56291006 43.93453115 35.54866516 33.02322701 49.68186573]
5,1,1,2,[23.38787204 24.8270735  29.82679442 30.07071258 18.49072224]
5,1,2,2,[23.40816099 24.67394039 29.41638471 29.68975951 18.18518903]
5,1,3,2,[23.34803943 24.53223877 29.2250135  29.4202684  18.0742419 ]
5,1,4,2,[23.2873014  24.38085621 29.25407715 29.36282288 18.06845168]
5,1,5,2,[23.33792118 24.21964875 29.28360357 29.29655097 18.05663272]
5,1,6,2,[23.39047692 24.03684089 29.31351935 29.33149417 18.14901722]
5,2,1,3,[23.56721474 30.06021123 25.91920451 23.92885339 25.93388988]
5,2,2,3,[23.24562213 29.9595245  25.85894409 23.54340334 25.87526117]
5,2,3,3,[22.99188384 30.03080704 25.7844638  23.49083983 25.80259389]
5,2,4,3,[22.81684754 30.070748   25.69749194 23.44000763 25.71763648]
5,2,5,3,[22.61011506 30.1867788  25.58860883 23.50241208 25.61099166]
5,2,6,3,[22.48210092 30.27604448 25.45820512 23.56793854 25.48307493]
5,3,1,2,[43.10362802 45.17430605 37.20925717 35.66949739 49.95224975]
5,3,2,2,[42.84296481 45.14371817 36.85682658 35.23373726 49.94694417]
5,3,3,2,[42.55396127 45.1103539  36.61076048 35.00363906 49.94104908]
5,3,4,2,[42.45575986 45.07397389 36.35212396 34.87095298 49.93449897]
5,3,5,2,[42.4585265  45.03431987 36.30337382 34.83601169 49.92722108]
5,3,6,2,[42.46245414 44.99111344 36.36680271 34.79862747 49.91913454]
6,1,1,2,[-30.38914898  17.61035708  18.05542838 -32.23188224 -33.9691707 ]
6,1,2,2,[-30.14681065  17.85264053  18.3471642  -32.24931904 -34.03985739]
6,1,3,2,[-29.90849491  18.09089529  18.64036603 -32.24010758 -34.07491667]
6,1,4,2,[-29.67480425  18.32451819  18.93504124 -32.21281435 -34.10161279]
6,1,5,2,[-29.44640888  18.55283828  19.23119722 -32.16427218 -34.11732263]
