Step,Agent,Horizon,Num_States,MostCommonAction,ActionDistribution,Sample_State,Sample_Q
10,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.64038103 39.57966096 30.10803339 35.6043209  30.00411027]
10,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6547288  39.48552751 30.01911949 35.61466199 30.01438733]
10,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66894261 39.50189946 30.03010659 35.62442393 30.02443403]
10,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6828979 39.5193105 30.0410298 35.6334327 30.0342663]
10,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69645323 39.53778945 30.0519452  35.6414919  30.04391835]
11,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77528271 39.82955675 30.31556009 35.63432012 30.21719216]
11,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67816699 39.63086754 30.13799373 35.63265301 30.02014141]
11,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69091709 39.54043805 30.05084083 35.64034599 30.03091617]
11,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70294458 39.56070488 30.06426559 35.64675448 30.04202848]
11,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.7140397  39.58219844 30.07847725 35.65160625 30.05365979]
11,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.723967   39.60494111 30.09373834 35.65459649 30.06604165]
12,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77065261 39.82850016 30.28555621 35.63928353 30.18481205]
12,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67337935 39.6274863  30.10593625 35.63852481 29.98509774]
12,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68625292 39.53422862 30.01657462 35.64752566 29.9943041 ]
12,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69877808 39.55108051 30.02758836 35.65574779 30.00382487]
12,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71085864 39.56847691 30.03912337 35.6630472  30.01381008]
12,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72239691 39.58633077 30.05135845 35.66927309 30.02444434]
13,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72365262 39.78405506 30.30391866 35.59759033 30.17689264]
13,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.62613609 39.58031727 30.12477968 35.59717798 29.97517378]
13,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63903287 39.48427905 30.03522271 35.60685719 29.98424534]
13,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65188107 39.49831484 30.04517714 35.61613031 29.99313596]
13,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66461877 39.512886   30.05456782 35.62489572 30.00185578]
13,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67718293 39.52793823 30.0633143  35.63304621 30.0104248 ]
14,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70851399 39.77524054 30.26392182 35.5815502  30.15396496]
14,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.61030588 39.57093371 30.08470893 35.58034611 29.94851079]
14,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.62249616 39.4743088  29.99544431 35.58920753 29.95855913]
14,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63462282 39.48774337 30.00613297 35.59763546 29.96885498]
14,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6466234  39.5017028  30.01678754 35.60552632 29.97948481]
14,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65843367 39.51613786 30.02742932 35.61277025 29.99055657]
15,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77263078 39.82770931 30.3137961  35.62583129 30.211224  ]
15,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67518533 39.63119989 30.1370054  35.62318589 30.01209662]
15,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68728542 39.54345739 30.05085595 35.62950826 30.02215913]
15,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69824446 39.56700421 30.06558953 35.63404762 30.03257042]
15,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70773319 39.59246937 30.08151511 35.63640337 30.04356747]
15,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71537143 39.61998846 30.0990223  35.63611607 30.05545856]
16,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75901788 39.81474296 30.31220778 35.62613643 30.1911186 ]
16,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66200137 39.61280677 30.13277672 35.62546644 29.99022776]
16,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6752613  39.51859163 30.04314273 35.63466692 29.99899218]
16,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68832013 39.53445454 30.05330698 35.64321527 30.00772422]
16,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70110087 39.55083523 30.06327915 35.65098436 30.01649099]
16,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71352649 39.56765292 30.07307847 35.65784148 30.02537979]
17,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.80532012 39.85554493 30.36625443 35.65615827 30.23459845]
17,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70856753 39.65904572 30.19075606 35.65394325 30.03872292]
17,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72147243 39.57097205 30.10584505 35.66077879 30.0495035 ]
17,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.73340472 39.59377033 30.12172692 35.66596734 30.06076194]
17,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74410726 39.61798093 30.13866134 35.66917684 30.07274106]
17,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75329091 39.64363622 30.15697199 35.67003488 30.08574789]
18,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69929772 39.76463187 30.25903572 35.58048262 30.16748394]
18,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.60132359 39.5590157  30.07822848 35.58041792 29.96202454]
18,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.61392894 39.46092146 29.98692638 35.59070043 29.96953218]
18,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.62669083 39.47270733 29.99503726 35.60088137 29.97638834]
18,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63959247 39.48481695 30.00245823 35.61091529 29.9824905 ]
18,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65262297 39.49717677 30.00907355 35.62075944 29.98772418]
19,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.7079412  39.76525237 30.23645053 35.58385939 30.1752614 ]
19,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.61058118 39.56229623 30.05533292 35.58382361 29.96484129]
19,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.62352651 39.46744548 29.96400298 35.59379587 29.97328607]
19,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63625197 39.48315511 29.97247892 35.60321793 29.98136928]
19,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.64861542 39.4999799  29.98079802 35.61191093 29.98850475]
19,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66045324 39.51797372 29.98902126 35.61967048 29.99439598]
20,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72557288 39.79499933 30.2583812  35.59497192 30.1978933 ]
20,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.62704818 39.5918896  30.07851703 35.59304712 29.98943738]
